nome,nivel,inicio,fim,instituicao,pagamento
Claudio Rosito Jung, PQ-1B, 01/03/2019, 28/02/2023, UFRGS, Em folha de pagamento
Cleidson Ronald Botelho de Souza, PQ-2, 01/03/2019, 28/02/2022, UFPA, Em folha de pagamento
Clodoveu Augusto Davis Junior, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Cristiana Barbosa Bentes, PQ-2, 01/03/2019, 28/02/2022, UERJ, Em folha de pagamento
Cristiane Neri Nobre, PQ-2, 01/03/2020, 28/02/2023, PUC Minas, Em folha de pagamento
Cristiano Bonato Both, PQ-2, 01/03/2019, 28/02/2022, UNISINOS, Em folha de pagamento
Cristiano Maciel, PQ-2, 01/03/2020, 28/02/2023, UFMT, Em folha de pagamento
Cristiano Maciel da Silva, PQ-2, 01/03/2018, 28/02/2021, UFSJ, Em folha de pagamento
Cristina Gomes Fernandes, PQ-1D, 01/03/2017, 28/02/2021, USP, Em folha de pagamento
Daniel Cardoso Moraes de Oliveira, PQ-2, 01/03/2019, 28/02/2022, UFF, Em folha de pagamento
Daniel Carlos Guimaraes Pedronette, PQ-2, 01/03/2018, 28/02/2021, UNESP, Em folha de pagamento
Daniel Fernandes Macedo, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Daniel Ludovico Guidoni, PQ-2, 01/03/2019, 28/02/2022, UFSJ, Em folha de pagamento
Daniel Ratton Figueiredo, PQ-2, 01/03/2018, 28/02/2021, UFRJ, Em folha de pagamento
Daniel Sadoc Menasche, PQ-2, 01/03/2018, 28/02/2021, UFRJ, Em folha de pagamento
Daniel Schwabe, PQ-1D, 01/03/2018, 28/02/2022, PUC-Rio, Em folha de pagamento
Danielo Goncalves Gomes, PQ-2, 01/03/2020, 28/02/2023, UFC, Em folha de pagamento
David Corrêa Martins Junior, PQ-2, 01/03/2018, 28/02/2021, UFABC, Em folha de pagamento
David Menotti Gomes, PQ-2, 01/03/2018, 28/02/2021, UFPR, Em folha de pagamento
Denis Deratani Maua, PQ-2, 01/03/2020, 28/02/2023, USP, Em folha de pagamento
Denis Fernando Wolf, PQ-2, 01/03/2018, 28/02/2021, USP, Em folha de pagamento
Diana Sasaki Nobrega, PQ-2, 01/03/2018, 28/02/2021, UERJ, Em folha de pagamento
Diego Gimenez Passos, PQ-2, 01/03/2020, 28/02/2023, UFF, Em folha de pagamento
Diego Raphael Amancio, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Divanilson Rodrigo de Sousa Campelo, PQ-2, 01/03/2019, 28/02/2022, UFPE, Em folha de pagamento
Djamel Fawzi Hadj Sadok, PQ-1C, 01/03/2019, 28/02/2023, UFPE, Em folha de pagamento
Dorgival Olavo Guedes Neto, PQ-2, 01/03/2018, 28/02/2021, UFMG, Em folha de pagamento
Edison Pignaton de Freitas, PQ-2, 01/03/2018, 28/02/2021, UFRGS, Em folha de pagamento
Edleno Silva de Moura, PQ-1B, 01/03/2019, 28/02/2023, UFAM, Em folha de pagamento
Edmundo Albuquerque de Souza e Silva, PQ-1A, 01/03/2020, 28/02/2025, UFRJ, Em folha de pagamento
Edmundo Roberto Mauro Madeira, PQ-1D, 01/03/2018, 28/02/2022, UNICAMP, Em folha de pagamento
Edson Borin, PQ-2, 01/03/2018, 28/02/2021, UNICAMP, Em folha de pagamento
Edson Prestes e Silva Junior, PQ-2, 01/03/2019, 28/02/2022, UFRGS, Em folha de pagamento
Eduardo Antonio Guimaraes Tavares, PQ-2, 01/03/2019, 28/02/2022, UFPE, Em folha de pagamento
Eduardo Camponogara, PQ-1D, 01/03/2018, 28/02/2022, UFSC, Em folha de pagamento
Eduardo Candido Xavier, PQ-2, 01/03/2018, 28/02/2021, UNICAMP, Em folha de pagamento
Eduardo Coelho Cerqueira, PQ-1D, 01/03/2017, 28/02/2021, UFPA, Em folha de pagamento
Eduardo Freire Nakamura, PQ-2, 01/03/2019, 28/02/2022, UFAM, Em folha de pagamento
Eduardo Magno Lages Figueiredo, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Eduardo Santana de Almeida, PQ-1D, 01/03/2017, 28/02/2021, UFBA, Em folha de pagamento
Eduardo Sany Laber, PQ-1C, 01/03/2018, 28/02/2022, PUC-Rio, Em folha de pagamento
Eduardo Soares Ogasawara, PQ-2, 01/03/2019, 28/02/2022, CEFET/RJ, Em folha de pagamento
Elias Procópio Duarte Junior, PQ-1D, 01/03/2017, 28/02/2021, UFPR, Em folha de pagamento
Elisa Yumi Nakagawa, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Erickson Rangel do Nascimento, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Ernesto Julian Goldberg Birgin, PQ-2, 01/03/2020, 28/02/2023, USP, Em folha de pagamento
Esteban Walter Gonzalez Clua, PQ-2, 01/03/2018, 28/02/2021, UFF, Em folha de pagamento
Estevam Rafael Hruschka Junior, PQ-1D, 01/03/2017, 28/02/2021, UFSCAR, Em folha de pagamento
Fabian Luis Vargas, PQ-2, 01/03/2020, 28/02/2023, PUCRS, Em folha de pagamento
Fabiano Cutigi Ferrari, PQ-2, 01/03/2017, 31/07/2020, UFSCAR, Em folha de pagamento
Fabiano Passuelo Hessel, PQ-2, 01/03/2019, 28/02/2022, PUCRS, Em folha de pagamento
Fabio Andre Machado Porto, PQ-2, 01/03/2019, 28/02/2022, LNCC, Em folha de pagamento
Fabio Gagliardi Cozman, PQ-1C, 01/03/2019, 28/02/2023, USP, Em folha de pagamento
Fabio Kon, PQ-1D, 01/03/2018, 28/02/2022, USP, Em folha de pagamento
Fabio Ribeiro Cerqueira, PQ-2, 01/03/2019, 28/02/2022, UFF, Em folha de pagamento
Fabricio Aguiar Silva, PQ-2, 01/03/2019, 28/02/2022, UFV, Em folha de pagamento
Fabricio Benevenuto de Souza, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Fabricio Enembreck, PQ-2, 01/03/2018, 28/02/2021, PUC/PR, Em folha de pagamento
Fatima de Lourdes dos Santos Nunes Marques, PQ-2, 01/03/2020, 28/02/2023, USP, Em folha de pagamento
Felipe Maia Galvao Franca, PQ-2, 01/03/2020, 28/02/2023, UFRJ, Em folha de pagamento
